code,name,ipo_price,first_day_close,latest_date,latest_close,ret_vs_ipo,high,low,ann_vol_pct,n_days
02513.HK,Zhipu_KnowledgeAtlas,116.2,131.5,20260625,2350.0,1922.4,2410.0,131.5,192.5,112
00100.HK,MiniMax,165.0,345.0,20260625,456.6,176.7,1238.0,345.0,155.3,111
